k,Ours_mean_ms,Ours_std_ms
1,10399.42265625,2157.819140625
2,12293.34765625,122.3535400390625
3,12288.8828125,86.219287109375
4,12209.3578125,105.848193359375
5,12189.60390625,165.76697998046876
6,12257.5125,52.63026123046875
7,12192.4421875,129.943896484375
8,12163.5671875,73.06142578125
9,12160.01875,65.81878051757812
10,12172.5296875,113.7297119140625
