k,qwen_mean_ms,qwen_std_ms
1,65406.0,167.1773193359375
2,64987.25,198.68350830078126
3,62999.83125,202.42288818359376
4,62503.1375,111.1411376953125
5,62546.93125,161.48896484375
6,62106.1875,144.2621337890625
7,63054.2375,209.772900390625
8,63259.01875,144.74849853515624
9,63095.325,866.33046875
10,62607.1,323.92346875
